Fragment,# Voices,Voice 0,Voice 1,Voice 2,Voice 3,Voice 4 (F),Voice 5,Voice 6 (F),Voice 7,Voice 8,Voice 9,Voice 10,Voice 11,Voice 12 (F),Voice 13,Summary,Eval
16,12,target is an enemy,target is an enemy,target is an enemy,target is an enemy,target is an enemy,target is an enemy,target is an enemy,target is an enemy,target is an enemy,target is an enemy,target is an enemy,target is an enemy,,,,
17,12,cleared hot,cleared hot,cleared hot,cleared hot,you're cleared hot,cleared hot,cleared hot,cleared hot,cleared hot,cleared hot,cleared hot,you are cleared hot,,,cleared hot,
18,12,attack secondary target,attack secondary target,take the secondary target,you take the secondary target,attack secondary target,go after the secondary target,attack secondary target,take the secondary target,you take the secondary target,attack secondary target,attack secondary target,take out the secondary target,,,,
19,12,diverting on AWAC's directive,diverting on AWAC's directive,we've got a divert,we've been diverted to a new mission,diverting on AWAC's directive,we've been diverted,we've got new tasking,we've got a divert,we've been diverted to a new mission,they've given us a new mission,diverting on AWAC's directive,we've been assigned a new mission,,,,
20,12,midnight,midnight,midnight,midnight,midnight,midnight,midnight,midnight,midnight,midnight,midnight,midnight,,,midnight,
21,12,sunrise,sunrise,sunrise,sunrise,sunrise,sunrise,sunrise,sunrise,sunrise,sunrise,sunrise,sunrise,,,sunrise,
22,12,"base is under attack, recommend divert to alternate field","base under attack, suggest divert to alternate field","we are condition red, divert to alternate field","base under attack, recommend you divert to alternate field","base is under attack, divert to alternate field","base is under attack, suggest you divert to alternate field","base under attack, suggest divert to alternate field","we are condition red, divert to alternate field","base under attack, recommend you divert to alternate field","base is under attack, divert to alternate field","base under attack, suggest divert to alternate field","we're under attack, you're going to have to land somewhere else",,,"base is under attack, divert to alternate field",
23,12,BDA is,BDA is,BDA,BDA is,BDA,BDA is,BDA is,BDA,BDA is,BDA,BDA is,BDA is,,,BDA,
24,12,print,contact ID'ed as,print,print,print,contact ID'ed as,contact ID'ed as,print,print,print,contact ID'ed as,print,,,print,
25,12,"break away, break away, break away","break away, break away, break away","break away, break away, break away","break away, break away, break away","break away, break away, break away","break away, break away, break away","break away, break away, break away","break away, break away, break away","break away, break away, break away","break away, break away, break away","break away, break away, break away","break away, break away, break away",,,,
26,12,buddy spike,buddy spike,buddy spike,buddy spike,buddy spike,buddy spike,buddy spike,buddy spike,buddy spike,buddy spike,buddy spike,buddy spike,,,buddy spike,
27,12,"be advised, threat aircraft bearing","be advised, hostile aircraft bearing","be advised, hostiles bearing","be advised, hostiles bearing","be advised, threat aircraft bearing","be advised, threat aircraft bearing","be advised, hostile aircraft bearing","be advised, hostiles bearing","be advised, hostiles bearing","be advised, threat aircraft bearing","be advised, hostile aircraft bearing","Be advised, hostile aircraft bearing",,,,
28,12,check six,check your six,check six,check six,check six,check six,check your six,check six,check six,check six,check your six,check your six,,,check six,
29,14,you are cleared for immediate landing,you are cleared on,"copy your emergency, you have priority on",cleared to land,"copy emergency, you are cleared straight in",you are cleared for immediate landing,you are cleared on,cleared to land,cleared to land,you are cleared straight in,you are cleared on,you are cleared on,you are cleared for immediate landing,you are cleared for immediate landing,you are cleared for immediate landing,
30,14,"emergency equipment will be standing by, good luck sir",good luck sir,alerting recovery team,"alerting recovery team, good luck",good luck,"emergency equipment will be standing by, good luck sir",good luck sir,alerting recovery team,"alerting recovery team,good luck",good luck,good luck sir,good luck sir,"emergency equipment will be standing by, good luck sir","emergency equipment will be standing by, good luck sir","emergency equipment will be standing by, good luck sir",
31,14,cleared for landing,cleared for landing,cleared for landing,cleared for landing,cleared for landing,cleared for landing,cleared for landing,cleared for landing,cleared for landing,cleared for landing,cleared for landing,cleared for landing,cleared for landing,cleared for landing,cleared for landing,
32,14,you are cleared for takeoff,cleared for takeoff,cleared for takeoff,cleared for takeoff,you are cleared for takeoff,you are cleared for takeoff,cleared for takeoff,cleared for takeoff,cleared for takeoff,you are cleared for takeoff,cleared for takeoff,cleared for takeoff,you are cleared for takeoff,you are cleared for takeoff,you are cleared for takeoff,
33,12,clear my six,clear my six,clear my six,clear my six,clear my six,clear my six,clear my six,clear my six,clear my six,clear my six,clear my six,clear my six,,,,
34,12,cleared to contact position,cleared to contact position,cleared to contact position,cleared to contact position,cleared to contact position,cleared to contact position,cleared to contact position,cleared to contact position,cleared to contact position,cleared to contact position,cleared to contact position,cleared to contact position,,,,
35,12,close up formation,close it up,close it up,bring it in,tighten it up,close up formation,close it up,close it up,bring it in,tighten it up,close it up,bring it on in,,,,
36,12,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,,,,
37,12,you are cover,cover,cover me,you are cover,cover,you are cover,cover,cover me,you are cover,cover,you are cover,cover me,,,,
38,12,disconnect,disconnect,disconnect,disconnect,disconnect,disconnect,disconnect,disconnect,disconnect,disconnect,disconnect,disconnect,,,,
39,14,"what is your problem? you are disrupting traffic",you are disrupting traffic,do you need assistance?,you are disrupting traffic,you are disrupting traffic,"what is your problem? you're disrupting traffic",you are disrupting traffic,do you need assistance?,you are disrupting traffic,you are disrupting traffic,you are disrupting traffic,you are disrupting traffic,"what is your problem? you are disrupting traffic","what is your problem? you are disrupting traffic","what is your problem? you are disrupting traffic",
40,12,"is engaged defensive, bearing","is engaged defensive, bearing","is engaged defensive, bearing","is engaged defensive, bearing","is engaged defensive, bearing","is engaged defensive, bearing","is engaged defensive, bearing","is engaged defensive, bearing","is engaged defensive, bearing","is engaged defensive, bearing","is engaged defensive, bearing","is engaged defensive, bearing",,,,
41,12,divert and assist,divert and assist,divert and assist,divert and assist,divert and assist,divert and assist,divert and assist,divert and assist,divert and assist,divert and assist,divert and assist,divert and assist,,,,
42,12,request vector to nearest landing field,request vector to nearest landing field,request vector to nearest landing field,I need a vector to the nearest landing field,request vector to nearest landing field,request vector to nearest landing field,request vector to nearest landing field,request vector to nearest landing field,I need a vector to the nearest landing field,request vector to nearest landing field,request vector to nearest landing field,request vector to nearest landing field,,,,
43,12,topped off and ready to go,fuel,ready,ready,ready,topped off and ready to go,fuel,ready,good to go,ready to go,fuel,fuel,,,,
44,12,music off,music off,music off,music strangled,music off,music silenced,music off,music off,music off,music off,music off,music strangled,,,,
45,12,music,music on,music,music on,music,music on,music,music on,music on,music,music on,music,,,,
46,12,"winchester, request relief",winchester,"winchester, can we get relief?","winchester, can we get relief?","winchester, request relief","winchester, request relief",winchester,"winchester, can we get relief?","winchester, can we get relief?","winchester, request relief",winchester,winchester,,,,
47,12,"bingo, request relief","bingo fuel, request relief","bingo fuel, how about some relief","bingo fuel, how about some relief","bingo fuel, request relief","bingo fuel, request relief","bingo fuel, request relief","bingo fuel, how about some relief?","bingo fuel, how about some relief?","bingo fuel, request relief","bingo fuel, request relief","bingo fuel, request relief",,,,
48,12,return to briefed flight plan,return to briefed flight plan,return to briefed flight plan,return to briefed flight plan,return to briefed flight plan,return to briefed flight plan,return to briefed flight plan,return to briefed flight plan,return to briefed flight plan,return to briefed flight plan,return to briefed flight plan,return to briefed flight plan,,,,
49,12,"be advised, enemy aircraft launch activity detected, bullseye","be advised, hostile launch activity detected, bullseye","be advised, hostile launch activity detected, bullseye","be advised, hostile launch activity detected, bullseye","be advised, enemy aircraft launch activity detected, bullseye","be advised, enemy aircraft launch activity detected, bullseye","be advised, hostile launch activity detected, bullseye","be advised, hostile launch activity detected, bullseye","be advised, hostile launch activity detected, bullseye","be advised, enemy aircraft launch activity detected, bullseye","be advised, hostile launch activity detected, bullseye","be advised, hostile launch activity detected, bullseye",,,,
50,12,engage,engage,engage,engage,engage,engage,engage,engage,engage,engage,engage,engage,,,,
51,12,engaging,engaging,engaging,engaging,engaging,engaging,engaging,engaging,engaging,engaging,engaging,engaging,,,,
52,12,bullseye,bullseye,bullseye,bullseye,bullseye,bullseye,bullseye,bullseye,bullseye,bullseye,bullseye,bullseye,,,,
53,12,"engaged defensive, bullseye","engaged defensive, bullseye","engaged defensive, bullseye","engaged defensive, bullseye","engaged defensive, bullseye","engaged defensive, bullseye","engaged defensive, bullseye","engaged defensive, bullseye","engaged defensive, bullseye","engaged defensive, bullseye","engaged defensive, bullseye","engaged defensive, bullseye",,,,
54,12,"engaged defensive, bearing","engaged defensive, bearing","engaged defensive, bearing","engaged defensive, bearing","engaged defensive, bearing","engaged defensive, bearing","engaged defensive, bearing","engaged defensive, bearing","engaged defensive, bearing","engaged defensive, bearing","engaged defensive, bearing","engaged defensive, bearing",,,,
55,12,engaged defensive,engaged defensive,engaged defensive,engaged defensive,engaged defensive,engaged defensive,engaged defensive,engaged defensive,engaged defensive,engaged defensive,engaged defensive,engaged defensive,,,,
56,12,checking in,checking in,cowabunga,checking in,checking in,checking in,checking in,let's get this show on the road,checking in,checking in,checking in,checking in,,,,
57,12,ready to attack,ready to attack,ready to attack,ready to attack,ready to attack,ready to attack,ready to attack,ready to attack,ready to attack,ready to attack,ready to attack,ready to attack,,,,
58,12,"flashing target data now, cleared hot when ready","flashing target data now, cleared hot","flashing target data now, cleared hot when ready","flashing target data now, cleared hot","flashing target data now, cleared hot when ready","flashing target data now, cleared hot","flashing target data now, cleared hot when ready","flashing target data now, cleared hot","flashing target data now, cleared hot when ready","flashing target data now, cleared hot","flashing target data now, cleared hot when ready","flashing target data now, cleared hot",,,,
59,12,in,in,in,in,in,in,in,in,in,in,in,in,,,,
60,12,off,off,out,out,off,off,off,out,out,off,off the target,off,,,,
61,12,we are heading home,let's go home,we are heading home,we are RTB,we're RTB,we are heading home,let's go home,we are heading home,we are RTB,we're RTB,let's go home,let's go home,,,,
62,12,be advised,be advised,be advised,be advised,be advised,be advised,be advised,be advised,be advised,be advised,be advised,heads up,,,,
63,12,flight bearing,flight bearing,flight bearing,flight bearing,flight bearing,flight bearing,flight bearing,flight bearing,flight bearing,flight bearing,flight bearing,flight bearing,,,,
64,12,"abort, abort, you are engaging friendlies","knock it off, those are friendlies","knock it off, those are our guys","hey, those are our guys","abort, abort, you are engaging friendlies","abort, abort, you are engaging friendlies","knock it off, those are friendlies","knock it off, those are our guys","hey, those are our guys","abort, abort, you are engaging friendlies","knock it off, knock it off, those are friendlies","abort, abort, you're shooting at our guys",,,,
65,12,what is your fuel state?,what is fuel state?,say fuel state,give me your fuel state,what is fuel state?,what is your fuel state?,what is fuel state?,say fuel state,give me your fuel state,what is fuel state?,what is fuel state?,what is fuel state?,,,,
66,14,"clear runway, incoming traffic","get off the runway, traffic inbound","get off the runway, incoming traffic","clear the runway, incoming traffic","clear runway, incoming traffic","clear runway, incoming traffic","get off the runway, traffic inbound","get off the runway, incoming traffic","clear the runway, incoming traffic","clear runway, incoming traffic","get off the runway, inbound traffic","get off the runway, traffic inbound","clear runway, incoming traffic","clear runway, incoming traffic","clear runway, incoming traffic",
67,14,"clear runway, you are opposite traffic","clear runway, you are opposite traffic","get off the runway, you are opposite traffic","clear the runway, you are opposite traffic","clear runway, you are opposite traffic","clear runway, you are opposite traffic","clear runway, you are opposite traffic","get off the runway, you are opposite traffic","clear the runway, you are opposite traffic","clear runway, you are opposite traffic","clear runway, you are opposite traffic","clear runway, you are opposite traffic","clear runway, you are opposite traffic","clear runway, you are opposite traffic","clear runway, you are opposite traffic",
68,12,target is bearing,target is bearing,target is bearing,target is bearing,target is bearing,target is bearing,target is bearing,target is bearing,target is bearing,target is bearing,target is bearing,target is bearing,,,,
69,12,data flash received,data logged,data tagged,data flash received,data received,data flash received,data logged,data tagged,data flash received,data received,data logged,data logged,,,,
70,12,"you're taking fire, it looks like","you're taking ground fire, probably",you're taking fire,"you're taking ground fire, looks like","you're taking ground fire, it looks like","you're taking fire, you're taking fire, it looks like","you're taking ground fire, probably",you're taking ground fire,"you're taking ground fire, looks like","you're taking fire, it looks like","you're taking ground fire, probably","you're taking fire, probably",,,,
71,12,"I've got a wounded bird, request assistance","I've got a wounded bird, I could use some help","I've got a wounded bird, request assistance","I've got a wounded bird, request assistance","I've got a wounded bird, request assistance","I've got a wounded bird, request assistance","I've got a wounded bird, I could use some help","I've got a wounded bird, request assistance","I've got a wounded bird, request assistance","I've got a wounded bird, request assistance","I've got a wounded bird, I could use some help","I've got a wounded bird, I could use some help",,,,
72,12,I'm in deep trouble,I need help now,I might need some help here,I need help,I'm in trouble here,I need help now,I've got major pucker factor here,I might need some help here,I need help,I need help now,I've got a situation here,I need help now,,,,
73,12,"still working fighters in the target area, hold at CP","working the area, hold at CP","I've got birds in the pattern, hold at CP","still trolling for targets, hold at CP","still working fighters in the target area, hold at CP","working EOB, hold at CP","working the target, hold at CP","I've got birds in the pattern, hold at CP","working fighters over the target, hold at CP","reconning the target, hold at CP","working, hold at CP",hold at CP,,,,
74,12,weapons safe,fire on my command only,weapons safe,hold your fire,shoot on my command only,weapons safe,weapons safe,weapons safe,hold your fire,shoot on my command only,weapons safe,weapons safe,,,,
75,14,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,hold,7
76,14,hold short,hold short,hold short,hold short,hold short,hold short,hold short,hold short,hold short,hold short,hold short,hold short,hold short,hold short,hold short,
77,14,is there a problem?,what's the hold up?,is there a problem?,is there a problem?,we're waiting,is there a problem?,what's the hold up?,is there a problem?,is there a problem?,we're waiting,what's the hold up?,what's the hold up?,is there a problem?,is there a problem?,,
78,12,heading home,I'm a dot,I'm a dot,I'm LGMF,heading back to home plate,heading home,I'm a dot,I'm a dot,I'm outta here,heading back to home plate,I'm a dot,I'm a dot,,,,
79,12,in position,in position,in position,in position,in position,in position,in position,in position,in position,in position,in position,in position,,,in position,
80,12,Make heading,make heading,make heading,make heading,make heading,make heading,make heading,make heading,make heading,make heading,make heading,turn to heading,,,turn to heading,
81,12,airspeed,airspeed,airspeed,airspeed,airspeed,airspeed,airspeed,airspeed,airspeed,airspeed,airspeed,airspeed,,,airspeed,
82,12,kick out,kick out,kick out,move it out,kick out,kick out,kick out,kick out,move it out,kick out,kick out,kick it out,,,kick out,
83,12,inbound for landing,inbound for landing,inbound for landing,inbound for landing,inbound for landing,inbound for landing,inbound for landing,inbound for landing,inbound for landing,inbound for landing,inbound for landing,inbound for landing,,,inbound for landing,
84,12,declaring an emergency,declaring an emergency,declaring an emergency,declaring an emergency,declaring an emergency,declaring an emergency,declaring an emergency,declaring an emergency,declaring an emergency,declaring an emergency,declaring an emergency,declaring an emergency,,,declaring an emergency,
85,12,laser on,laser on,laser on,laser on,laser on,laser on,laser on,laser on,laser on,laser on,laser on,laser on,,,laser on,
86,12,we're running behind schedule,let's get it in gear,we're late,we're slipping behind schedule,we're running behind schedule,we're running behind schedule,let's get it in gear,we're late,we're slipping behind schedule,we're running behind schedule,let's get it in gear,let's get it in gear,,,,
87,12,"heads up, leakers",we've got leakers,"heads up, leakers heading your way","heads up, leakers",leakers heading your way,"heads up, leakers",we've got leakers,"heads up, leakers heading your way","heads up, leakers","heads up, leakers","heads up, we've got leakers",leakers,,,,
88,12,go left,go left,go left,go left,go left,go left,go left,go left,go left,go left,go left,go left,,,go left,
89,12,airborne,airborne,airborne,airborne,airborne,airborne,airborne,airborne,airborne,airborne,airborne,airborne,,,airborne,
90,12,look for aerial threats,keep an eye out for bogeys,keep your eyes peeled for outlaws,look for aerial targets,look for aerial threats,look for aerial threats,keep an eye out for bogeys,keep your eyes peeled for outlaws,look for aerial targets,look for aerial threats,keep an eye out for aerial targets,keep an eye out for bogeys,,,,
91,12,look for ground targets,keep your eyes peeled for ground movers,keep an eye out for movers,look for ground targets,look for ground targets,look for ground targets,keep your eyes peeled for ground movers,keep an eye out for movers,look for ground targets,look for ground targets,let's find some ground targets,let's see what we can find in the weeds,,,,
92,12,scanning for bogies,scanning,scanning the skies,scanning the skies,scanning for bogies,scanning for bogies,scanning,scanning the skies,scanning the skies,scanning for bogies,scanning,scanning,,,,
93,12,searching for ground targets,searching,searching the weeds,searching for mud targets,searching for ground targets,searching for ground targets,searching,searching the weeds,searching for mud targets,searching for ground targets,searching,searching,,,,
94,12,LZ sanitized,sanitized,LZ clear,LZ secured,LZ sanitized,LZ sanitized,sanitized,LZ clear,LZ secured,LZ sanitized,LZ clear,sanitized,,,,
95,12,monitor target at bearing,monitor target at bearing,"monitor target, bearing","monitor target, bearing",monitor target at bearing,monitor target at bearing,monitor target at bearing,"monitor target, bearing","monitor target, bearing",monitor target at bearing,monitor target at bearing,monitor target at bearing,,,monitor target at bearing,
96,12,INS update,INS update,INS update,INS update,INS update,INS update,INS update,INS update,INS update,INS update,INS update,INS update,,,INS update,
97,12,nearest threat,nearest threat,nearest threat,nearest threat,nearest threat,nearest threat,nearest threat,nearest threat,nearest threat,nearest threat,nearest threat,nearest threat,,,nearest threat,
98,12,"no air cover available, you're on your own","sorry, you're on your own","no air cover available, you're on your own","no air cover available, you're on your own","no air cover available, you're on your own","no air cover available, you're on your own","sorry, you're on your own","no air cover available, you're on your own","no air cover available, you're on your own","no air cover available, you're on your own",no cover is available,"everything's tied up, you're on your own",,,,
99,12,contact identity unknown,contact identity unknown,contact identity unknown,contact identity unknown,contact identity unknown,contact identity unknown,contact identity unknown,contact identity unknown,contact identity unknown,contact identity unknown,contact identity unknown,contact identity unknown,,,,
100,12,no joy on target,no joy,no joy,no joy,no joy on target,no joy on target,no joy,no joy,no joy,no joy on target,no joy,no joy,,,no joy,
101,12,on my way,on my way,on my way,on my way,on my way,on my way,on my way,on my way,on my way,on my way,on my way,on my way,,,on my way,
102,12,"on the runway, ready to roll",ready to roll,ready to roll,lined up and ready to go,"on the runway, ready to roll","on the runway, ready to roll",ready to roll,ready to roll,lined up and ready to go,"on the runway, ready to roll",ready to roll,ready to roll,,,,
103,12,what luck,what luck,what luck,what luck,what luck,what luck,what luck,what luck,what luck,what luck,what luck,what luck,,,what luck,
104,12,package departing the push point,package leaving pushpoint,package departing push point,package departing push point,package departing the push point,package departing the push point,package leaving pushpoint,package departing push point,package departing push point,package departing the push point,package leaving pushpoint,package leaving pushpoint,,,,
105,12,package is fuelled,package fuelled,package fuelled,package fuelled,package is fuelled,package is fuelled,package fuelled,package fuelled,package fuelled,package is fuelled,package fuelled,package fuelled,,,,
106,12,package marshalled,package marshalled,package marshalled,package marshalled,package marshalled,package marshalled,package marshalled,package marshalled,package marshalled,package marshalled,package marshalled,package marshalled,,,,
107,12,all flights check in,check in,all flights check in,sound off,all flights check in,all flights check in,sound off,all flights check in,all flights check in,all flights check in,check in,check in,,,,
108,12,rolex,rolex,rolex,rolex,rolex,rolex,rolex,rolex,rolex,rolex,rolex,rolex,,,,
109,12,nearest hostile at bullseye,nearest bandit at bullseye,"nearest bandit, bullseye","nearest hostile, bullseye",nearest bandit at bullseye,nearest bandit at bullseye,nearest hostile at bullseye,"nearest bandit, bullseye","nearest hostile, bullseye",nearest bandit at bullseye,nearest hostile at bullseye,nearest bandit at bullseye,,,,
110,12,picture clear,picture clear,picture clear,picture clear,picture clear,picture clear,picture clear,picture clear,picture clear,picture clear,picture clear,picture clear,,,picture clear,
111,12,request picture,request picture,request picture,request picture,request picture,picture,request picture,need picture,update picture,request picture,request picture,what's the picture,,,request picture,
112,12,pilot captured,pilot captured,we're too late,the pilots been captured,pilot captured,pilot captured,pilot captured,"we're too late, the pilots been captured",the pilots been captured,pilot captured,pilot captured,pilot captured,,,pilot captured,
113,12,pilot is DOA,pilot has been killed,we're too late to help this poor sucker,we're too late,pilot is KIA,pilot is DOA,pilot has been killed,we're too late to help this poor sucker,we're too late,pilot is KIA,pilot has been killed,we're too late,,,,
114,12,he missed,that was too close,that was close,that was too close,that was a close call,he missed,that was too close,he missed,whoa,that was a close call,that was too close,"holy mackerel, that was close",,,,
115,12,"I'm hit, egressing","I'm hit, heading for safety","I'm hit, egressing",I'm hit,"I'm hit, bugging out","I'm hit, egressing","I'm hit, I'm hit, I might have to bail out",I'm in trouble here,I'm hit,"I'm hit, bugging out",I'm hit bad,"I'm hit, I'm hit",,,,
116,12,"I took a hit, minor damage, I think I can press on","I took a hit, no major damage","I caught a BP or two, doesn't seem too bad","that was close, but no significant damage","I took a hit, minor damage, press on","I took a hit, minor damage","I caught some shrapnel, but no major damage","I took a hit, doesn't seem too bad, I think I can go on","that was close, but no major damage, press on","I took a hit, damage is minor","I picked up a little flak, but no major damage","I took a hit, but no major damage",,,,
117,12,I'm ejecting,ejecting,punching out,ejecting,bailing out,I'm bailing out,punching,punching out,ejecting,hittin' the silk,ejecting,I'm pulling the handle,,,,
118,12,pilot recovered,pilot recovered,the pilot has been recovered,"we got him, let's get out of here",pilot recovered,pilot recovered,pilot recovered,the pilot has been recovered,"we got him, let's get out of here",pilot recovered,pilot recovered,pilot recovered,,,,
119,12,good to see ya,glad you could make it,nice of you to show up,fence check in,good to see you,good to see ya,glad you could make it,nice of you to show up,fence check in,good to see ya,glad you could make it,glad you could make it,,,,
120,12,my posit bearing,my posit bearing,my posit bearing,my posit bearing,my posit bearing,my posit bearing,my posit bearing,my posit bearing,my posit bearing,my posit bearing,my posit bearing,my posit bearing,,,,
121,12,you are cleared to pre-contact position,cleared to pre-contact position,cleared to pre-contact position,cleared to pre-contact position,you are cleared to pre-contact position,you are cleared to pre-contact position,cleared to pre-contact position,cleared to pre-contact position,cleared to pre-contact position,you are cleared to pre-contact position,cleared to pre-contact position,cleared to pre-contact position,,,,
122,12,press on with mission,press on,press on with mission,press on with mission,press on with mission,press on with mission,press on,press on with mission,press on with mission,press on with mission,press on,press on,,,,
123,12,target destroyed,target destroyed,target destroyed,target destroyed,target destroyed,target destroyed,target destroyed,target destroyed,target destroyed,target destroyed,target destroyed,target destroyed,,,target destroyed,
124,12,target damaged,target damaged,target damaged,target damaged,target damaged,target damaged,target damaged,target damaged,target damaged,target damaged,target damaged,target damaged,,,target damaged,
125,12,radar contact bearing,radar contact bearing,contact bearing,I've got a contact bearing,radar contact bearing,radar contact bearing,radar contact bearing,contact bearing,I've got a contact bearing,radar contact bearing,radar contact bearing,radar contact bearing,,,radar contact bearing,
126,12,snooze radar,snooze radar,snooze radar,snooze radar,snooze radar,snooze radar,snooze radar,snooze radar,snooze radar,snooze radar,snooze radar,snooze radar,,,snooze radar,
127,12,activate radar,activate radar,activate radar,activate radar,activate radar,activate radar,activate radar,activate radar,activate radar,activate radar,activate radar,activate radar,,,activate radar,
128,12,flight,flight,flight,flight,flight,flight,flight,flight,flight,flight,flight,flight,,,flight,
129,12,stabilized and ready,stabilized and ready,stabilized and ready,stabilized and ready,stabilized and ready,stabilized and ready,stabilized and ready,stabilized and ready,stabilized and ready,stabilized and ready,stabilized and ready,stabilized and ready,,,stabilized and ready,
130,12,good to go,all ready,good to go,loaded up and ready to go,loaded up and ready to go,good to go,let's do it,loaded up and ready to go,good to go,cocked and ready,loaded up and ready to go,saddled up,,,,
131,12,"I still have targets, can you re-attack","I still have targets, can you re-attack","I still have targets, how about a re-attack","can you re-attack, I still have targets","I still got targets, can you re-attack","I've got another target, can you re-attack","I still have targets, can you re-attack","I still have targets, how about a re-attack","can you re-attack, I still have targets","I still have targets, can you re-attack","I still have targets, can you re-attack","I still have targets, can you re-attack",,,,
132,12,picture taken,picture taken,picture taken,picture taken,picture taken,picture taken,picture taken,picture taken,picture taken,picture taken,picture taken,picture taken,,,picture taken,
133,12,rejoin formation,rejoin formation,rejoin,get back in formation,rejoin formation,rejoin formation,rejoin formation,rejoin,get back in formation,rejoin formation,rejoin formation,rejoin formation,,,rejoin formation,
134,12,request clearance to refuel,request clearance to refuel,I could use some fuel,ready to refuel,request clearance to refuel,request clearance to refuel,request clearance to refuel,I could use some fuel,ready to refuel,request clearance to refuel,request clearance to refuel,request clearance to refuel,,,,
135,12,hounddog,request permission to engage,let me at 'em,request permission to engage,request permission to engage,hounddog,request permission to engage,let me at 'em,request permission to engage,request permission to engage,request permission to engage,I've got a good angle on him,,,,
136,12,request permission to fire,request permission to fire,I've got a clear shot,I've got a shot,request permission to fire,request permission to fire,request permission to fire,I've got a shot,I've got a shot,request permission to fire,request permission to fire,request permission to fire,,,,
137,12,resume briefed flight plan,resume briefed flight plan,resume briefed flight plan,resume briefed flight plan,resume briefed flight plan,resume briefed flight plan,resume briefed flight plan,resume briefed flight plan,resume briefed flight plan,resume briefed flight plan,resume briefed flight plan,resume briefed flight plan,,,,
138,12,go right,go right,go right,go right,go right,go right,go right,go right,go right,go right,go right,go right,,,go right,
139,12,return to base,return to base,return to base,return to base,return to base,return to base,return to base,return to base,return to base,return to base,return to base,return to base,,,return to base,
