  +0.945600  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000
  +0.960000  +0.960000  +0.960000  +0.960000
#
# Mach: 0.5
  -0.362700  -0.317300  -0.272000  -0.226700  -0.181300  -0.136000  -0.090700  -0.045300  +0.000000  +0.045300
  +0.090700  +0.136000  +0.181300  +0.226700  +0.272000  +0.317300  +0.362700  +0.408000  +0.453300  +0.498700
  +0.544000  +0.589300  +0.634700  +0.680000  +0.725300  +0.770700  +0.816000  +0.853100  +0.890100  +0.927200
  +0.945600  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000
  +0.960000  +0.960000  +0.960000  +0.960000
#
# Mach: 0.6
  -0.362700  -0.317300  -0.272000  -0.226700  -0.181300  -0.136000  -0.090700  -0.045300  +0.000000  +0.045300
  +0.090700  +0.136000  +0.181300  +0.226700  +0.272000  +0.317300  +0.362700  +0.408000  +0.453300  +0.498700
  +0.544000  +0.589300  +0.634700  +0.680000  +0.725300  +0.770700  +0.816000  +0.853100  +0.890100  +0.927200
  +0.945600  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000
  +0.960000  +0.960000  +0.960000  +0.960000
#
# Mach: 0.7
  -0.362700  -0.317300  -0.272000  -0.226700  -0.181300  -0.136000  -0.090700  -0.045300  +0.000000  +0.045300
  +0.090700  +0.136000  +0.181300  +0.226700  +0.272000  +0.317300  +0.362700  +0.408000  +0.453300  +0.498700
  +0.544000  +0.589300  +0.634700  +0.680000  +0.725300  +0.770700  +0.816000  +0.853100  +0.890100  +0.927200
  +0.945600  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000
  +0.960000  +0.960000  +0.960000  +0.960000
#
# Mach: 0.8
  -0.306100  -0.267800  -0.229600  -0.191300  -0.153000  -0.114800  -0.076500  -0.038300  +0.000000  +0.038300
  +0.076500  +0.114800  +0.153000  +0.191300  +0.229600  +0.267800  +0.306100  +0.344300  +0.382600  +0.420900
  +0.459100  +0.497400  +0.535700  +0.573900  +0.612200  +0.650400  +0.688700  +0.727000  +0.765200  +0.803500
  +0.841700  +0.880000  +0.880000  +0.880000  +0.880000  +0.880000  +0.880000  +0.880000  +0.880000  +0.880000
  +0.880000  +0.880000  +0.880000  +0.880000
#
# Mach: 0.85
  -0.295700  -0.258700  -0.221700  -0.184800  -0.147800  -0.110900  -0.073900  -0.037000  +0.000000  +0.037000
  +0.073900  +0.110900  +0.147800  +0.184800  +0.221700  +0.258700  +0.295700  +0.332600  +0.369600  +0.406500
  +0.443500  +0.480400  +0.517400  +0.554300  +0.591300  +0.628300  +0.665200  +0.702200  +0.739100  +0.776100
  +0.813000  +0.850000  +0.850000  +0.850000  +0.850000  +0.850000  +0.850000  +0.850000  +0.850000  +0.850000
  +0.850000  +0.850000  +0.850000  +0.850000
#
# Mach: 0.9
  -0.283800  -0.248300  -0.212900  -0.177400  -0.141900  -0.106400  -0.071000  -0.035500  +0.000000  +0.035500
  +0.071000  +0.106400  +0.141900  +0.177400  +0.212900  +0.248300  +0.283800  +0.319300  +0.354800  +0.390300
  +0.425700  +0.461200  +0.496700  +0.532200  +0.567700  +0.603100  +0.638600  +0.674100  +0.709600  +0.745000
  +0.780500  +0.816000  +0.816000  +0.816000  +0.816000  +0.816000  +0.816000  +0.816000  +0.816000  +0.816000
  +0.816000  +0.816000  +0.816000  +0.816000
#
# Mach: 0.95
  -0.267100  -0.233700  -0.200300  -0.167000  -0.133600  -0.100200  -0.066800  -0.033400  +0.000000  +0.033400
  +0.066800  +0.100200  +0.133600  +0.167000  +0.200300  +0.233700  +0.267100  +0.300500  +0.333900  +0.367300
  +0.400700  +0.434100  +0.467500  +0.500900  +0.534300  +0.567700  +0.601000  +0.634400  +0.667800  +0.701200
  +0.734600  +0.768000  +0.768000  +0.768000  +0.768000  +0.768000  +0.768000  +0.768000  +0.768000  +0.768000
  +0.768000  +0.768000  +0.768000  +0.768000
#
# Mach: 1
  -0.250400  -0.219100  -0.187800  -0.156500  -0.125200  -0.093900  -0.062600  -0.031300  +0.000000  +0.031300
  +0.062600  +0.093900  +0.125200  +0.156500  +0.187800  +0.219100  +0.250400  +0.281700  +0.313000  +0.344300
  +0.375700  +0.407000  +0.438300  +0.469600  +0.500900  +0.532200  +0.563500  +0.594800  +0.626100  +0.657400
  +0.688700  +0.720000  +0.720000  +0.720000  +0.720000  +0.720000  +0.720000  +0.720000  +0.720000  +0.720000
  +0.720000  +0.720000  +0.720000  +0.720000
#
# Mach: 1.05
  -0.187500  -0.164000  -0.140600  -0.117200  -0.093700  -0.070300  -0.046900  -0.023400  +0.000000  +0.023400
  +0.046900  +0.070300  +0.093700  +0.117200  +0.140600  +0.164000  +0.187500  +0.210900  +0.234300  +0.257800
  +0.281200  +0.304700  +0.328100  +0.351500  +0.375000  +0.398400  +0.421800  +0.445300  +0.468700  +0.492100
  +0.515600  +0.539000  +0.539000  +0.539000  +0.539000  +0.539000  +0.539000  +0.539000  +0.539000  +0.539000
  +0.539000  +0.539000  +0.539000  +0.539000
#
# Mach: 1.1
  -0.214300  -0.187500  -0.160700  -0.133900  -0.107100  -0.080300  -0.053600  -0.026800  +0.000000  +0.026800
  +0.053600  +0.080300  +0.107100  +0.133900  +0.160700  +0.187500  +0.214300  +0.241000  +0.267800  +0.294600
  +0.321400  +0.348200  +0.375000  +0.401700  +0.428500  +0.455300  +0.482100  +0.508900  +0.535700  +0.562400
  +0.589200  +0.616000  +0.616000  +0.616000  +0.616000  +0.616000  +0.616000  +0.616000  +0.616000  +0.616000
  +0.616000  +0.616000  +0.616000  +0.616000
#
# Mach: 1.15
  -0.184300  -0.161300  -0.138200  -0.115200  -0.092200  -0.069100  -0.046100  -0.023000  +0.000000  +0.023000
  +0.046100  +0.069100  +0.092200  +0.115200  +0.138200  +0.161300  +0.184300  +0.207300  +0.230400  +0.253400
  +0.276500  +0.299500  +0.322500  +0.345600  +0.368600  +0.391700  +0.414700  +0.437700  +0.460800  +0.483800
  +0.506800  +0.529900  +0.529900  +0.529900  +0.529900  +0.529900  +0.529900  +0.529900  +0.529900  +0.529900
  +0.529900  +0.529900  +0.529900  +0.529900
#
# Mach: 1.2
  -0.154400  -0.135100  -0.115800  -0.096500  -0.077200  -0.057900  -0.038600  -0.019300  +0.000000  +0.019300
  +0.038600  +0.057900  +0.077200  +0.096500  +0.115800  +0.135100  +0.154400  +0.173700  +0.192900  +0.212200
  +0.231500  +0.250800  +0.270100  +0.289400  +0.308700  +0.328000  +0.347300  +0.366600  +0.385900  +0.405200
  +0.424500  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800
  +0.443800  +0.443800  +0.443800  +0.443800
#
# Mach: 1.3
  -0.154400  -0.135100  -0.115800  -0.096500  -0.077200  -0.057900  -0.038600  -0.019300  +0.000000  +0.019300
  +0.038600  +0.057900  +0.077200  +0.096500  +0.115800  +0.135100  +0.154400  +0.173700  +0.192900  +0.212200
  +0.231500  +0.250800  +0.270100  +0.289400  +0.308700  +0.328000  +0.347300  +0.366600  +0.385900  +0.405200
  +0.424500  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800
  +0.443800  +0.443800  +0.443800  +0.443800
#
# Mach: 1.4
  -0.154400  -0.135100  -0.115800  -0.096500  -0.077200  -0.057900  -0.038600  -0.019300  +0.000000  +0.019300
  +0.038600  +0.057900  +0.077200  +0.096500  +0.115800  +0.135100  +0.154400  +0.173700  +0.192900  +0.212200
  +0.231500  +0.250800  +0.270100  +0.289400  +0.308700  +0.328000  +0.347300  +0.366600  +0.385900  +0.405200
  +0.424500  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800
  +0.443800  +0.443800  +0.443800  +0.443800
#
# Mach: 1.5
  -0.154400  -0.135100  -0.115800  -0.096500  -0.077200  -0.057900  -0.038600  -0.019300  +0.000000  +0.019300
  +0.038600  +0.057900  +0.077200  +0.096500  +0.115800  +0.135100  +0.154400  +0.173700  +0.192900  +0.212200
  +0.231500  +0.250800  +0.270100  +0.289400  +0.308700  +0.328000  +0.347300  +0.366600  +0.385900  +0.405200
  +0.424500  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800
  +0.443800  +0.443800  +0.443800  +0.443800
#
# Mach: 1.6
  -0.154400  -0.135100  -0.115800  -0.096500  -0.077200  -0.057900  -0.038600  -0.019300  +0.000000  +0.019300
  +0.038600  +0.057900  +0.077200  +0.096500  +0.115800  +0.135100  +0.154400  +0.173700  +0.192900  +0.212200
  +0.231500  +0.250800  +0.270100  +0.289400  +0.308700  +0.328000  +0.347300  +0.366600  +0.385900  +0.405200
  +0.424500  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800
  +0.443800  +0.443800  +0.443800  +0.443800
#
# Mach: 1.7
  -0.154400  -0.135100  -0.115800  -0.096500  -0.077200  -0.057900  -0.038600  -0.019300  +0.000000  +0.019300
  +0.038600  +0.057900  +0.077200  +0.096500  +0.115800  +0.135100  +0.154400  +0.173700  +0.192900  +0.212200
  +0.231500  +0.250800  +0.270100  +0.289400  +0.308700  +0.328000  +0.347300  +0.366600  +0.385900  +0.405200
  +0.424500  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800
  +0.443800  +0.443800  +0.443800  +0.443800
#
# Mach: 1.8
  -0.154400  -0.135100  -0.115800  -0.096500  -0.077200  -0.057900  -0.038600  -0.019300  +0.000000  +0.019300
  +0.038600  +0.057900  +0.077200  +0.096500  +0.115800  +0.135100  +0.154400  +0.173700  +0.192900  +0.212200
  +0.231500  +0.250800  +0.270100  +0.289400  +0.308700  +0.328000  +0.347300  +0.366600  +0.385900  +0.405200
  +0.424500  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800
  +0.443800  +0.443800  +0.443800  +0.443800
#
# Mach: 1.9
  -0.154400  -0.135100  -0.115800  -0.096500  -0.077200  -0.057900  -0.038600  -0.019300  +0.000000  +0.019300
  +0.038600  +0.057900  +0.077200  +0.096500  +0.115800  +0.135100  +0.154400  +0.173700  +0.192900  +0.212200
  +0.231500  +0.250800  +0.270100  +0.289400  +0.308700  +0.328000  +0.347300  +0.366600  +0.385900  +0.405200
  +0.424500  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800
  +0.443800  +0.443800  +0.443800  +0.443800
#
# Mach: 2
  -0.154400  -0.135100  -0.115800  -0.096500  -0.077200  -0.057900  -0.038600  -0.019300  +0.000000  +0.019300
  +0.038600  +0.057900  +0.077200  +0.096500  +0.115800  +0.135100  +0.154400  +0.173700  +0.192900  +0.212200
  +0.231500  +0.250800  +0.270100  +0.289400  +0.308700  +0.328000  +0.347300  +0.366600  +0.385900  +0.405200
  +0.424500  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800
  +0.443800  +0.443800  +0.443800  +0.443800
#
# Mach: 2.5
  -0.154400  -0.135100  -0.115800  -0.096500  -0.077200  -0.057900  -0.038600  -0.019300  +0.000000  +0.019300
  +0.038600  +0.057900  +0.077200  +0.096500  +0.115800  +0.135100  +0.154400  +0.173700  +0.192900  +0.212200
  +0.231500  +0.250800  +0.270100  +0.289400  +0.308700  +0.328000  +0.347300  +0.366600  +0.385900  +0.405200
  +0.424500  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800  +0.443800
  +0.443800  +0.443800  +0.443800  +0.443800
#
#-----------------------------------------------------
#     DRAG COEFFICIENT  CD
#-----------------------------------------------------
+0.666660   # Table Multiplier
#
# Mach: 0
  +0.043000  +0.037100  +0.031400  +0.026500  +0.022600  +0.019500  +0.017300  +0.015900  +0.015500  +0.015900
  +0.017300  +0.019500  +0.022600  +0.026500  +0.031400  +0.037100  +0.043000  +0.049000  +0.055000  +0.061100
  +0.067200  +0.073400  +0.079700  +0.086000  +0.092800  +0.101400  +0.112100  +0.122500  +0.134300  +0.147500
  +0.154500  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300
  +0.160300  +0.160300  +0.160300  +0.160300
#
# Mach: 0.4
  +0.043000  +0.037100  +0.031400  +0.026500  +0.022600  +0.019500  +0.017300  +0.015900  +0.015500  +0.015900
  +0.017300  +0.019500  +0.022600  +0.026500  +0.031400  +0.037100  +0.043000  +0.049000  +0.055000  +0.061100
  +0.067200  +0.073400  +0.079700  +0.086000  +0.092800  +0.101400  +0.112100  +0.122500  +0.134300  +0.147500
  +0.154500  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300
  +0.160300  +0.160300  +0.160300  +0.160300
#
# Mach: 0.5
  +0.043000  +0.037100  +0.031400  +0.026500  +0.022600  +0.019500  +0.017300  +0.015900  +0.015500  +0.015900
  +0.017300  +0.019500  +0.022600  +0.026500  +0.031400  +0.037100  +0.043000  +0.049000  +0.055000  +0.061100
  +0.067200  +0.073400  +0.079700  +0.086000  +0.092800  +0.101400  +0.112100  +0.122500  +0.134300  +0.147500
  +0.154500  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300
  +0.160300  +0.160300  +0.160300  +0.160300
#
# Mach: 0.6
  +0.043000  +0.037100  +0.031400  +0.026500  +0.022600  +0.019500  +0.017300  +0.015900  +0.015500  +0.015900
  +0.017300  +0.019500  +0.022600  +0.026500  +0.031400  +0.037100  +0.043000  +0.049000  +0.055000  +0.061100
  +0.067200  +0.073400  +0.079700  +0.086000  +0.092800  +0.101400  +0.112100  +0.122500  +0.134300  +0.147500
  +0.154500  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300
  +0.160300  +0.160300  +0.160300  +0.160300
#
# Mach: 0.7
  +0.043000  +0.037100  +0.031400  +0.026500  +0.022600  +0.019500  +0.017300  +0.015900  +0.015500  +0.015900
  +0.017300  +0.019500  +0.022600  +0.026500  +0.031400  +0.037100  +0.043000  +0.049000  +0.055000  +0.061100
  +0.067200  +0.073400  +0.079700  +0.086000  +0.092800  +0.101400  +0.112100  +0.122500  +0.134300  +0.147500
  +0.154500  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300  +0.160300
  +0.160300  +0.160300  +0.160300  +0.160300
#
# Mach: 0.8
  +0.030500  +0.027000  +0.023900  +0.021400  +0.019200  +0.017600  +0.016400  +0.015700  +0.015500  +0.015700
  +0.016400  +0.017600  +0.019200  +0.021400  +0.023900  +0.027000  +0.030500  +0.034500  +0.038900  +0.044100
  +0.051300  +0.060800  +0.072400  +0.086300  +0.102500  +0.120800  +0.141400  +0.164200  +0.189200  +0.216500
  +0.245900  +0.277600  +0.277600  +0.277600  +0.277600  +0.277600  +0.277600  +0.277600  +0.277600  +0.277600
  +0.277600  +0.277600  +0.277600  +0.277600
#
# Mach: 0.85
  +0.029500  +0.026200  +0.023400  +0.021000  +0.019000  +0.017500  +0.016400  +0.015700  +0.015500  +0.015700
  +0.016400  +0.017500  +0.019000  +0.021000  +0.023400  +0.026200  +0.029500  +0.033200  +0.037400  +0.042000
  +0.048100  +0.056300  +0.066600  +0.079000  +0.093400  +0.109900  +0.128500  +0.149200  +0.171900  +0.196700
  +0.223600  +0.252600  +0.252600  +0.252600  +0.252600  +0.252600  +0.252600  +0.252600  +0.252600  +0.252600
  +0.252600  +0.252600  +0.252600  +0.252600
#
# Mach: 0.9
  +0.028400  +0.025400  +0.022800  +0.020500  +0.018700  +0.017300  +0.016300  +0.015700  +0.015500  +0.015700
  +0.016300  +0.017300  +0.018700  +0.020500  +0.022800  +0.025400  +0.028400  +0.031800  +0.035600  +0.039900
  +0.044900  +0.051800  +0.060600  +0.071300  +0.083900  +0.098500  +0.114900  +0.133300  +0.153600  +0.175700
  +0.199900  +0.225900  +0.225900  +0.225900  +0.225900  +0.225900  +0.225900  +0.225900  +0.225900  +0.225900
  +0.225900  +0.225900  +0.225900  +0.225900
#
# Mach: 0.95
  +0.027200  +0.024600  +0.022200  +0.020300  +0.018700  +0.017400  +0.016500  +0.016000  +0.015800  +0.016000
  +0.016500  +0.017400  +0.018700  +0.020300  +0.022200  +0.024600  +0.027200  +0.030300  +0.033600  +0.037400
  +0.041500  +0.046700  +0.053500  +0.062100  +0.072300  +0.084200  +0.097900  +0.113200  +0.130200  +0.148900
  +0.169300  +0.191400  +0.191400  +0.191400  +0.191400  +0.191400  +0.191400  +0.191400  +0.191400  +0.191400
  +0.191400  +0.191400  +0.191400  +0.191400
#
# Mach: 1
  +0.034800  +0.032500  +0.030400  +0.028700  +0.027300  +0.026200  +0.025400  +0.025000  +0.024800  +0.025000
  +0.025400  +0.026200  +0.027300  +0.028700  +0.030400  +0.032500  +0.034800  +0.037500  +0.040500  +0.043800
  +0.047400  +0.051300  +0.056400  +0.063000  +0.071000  +0.080600  +0.091600  +0.104200  +0.118200  +0.133700
  +0.150700  +0.169200  +0.169200  +0.169200  +0.169200  +0.169200  +0.169200  +0.169200  +0.169200  +0.169200
  +0.169200  +0.169200  +0.169200  +0.169200
#
# Mach: 1.05
  +0.040500  +0.039200  +0.038000  +0.037100  +0.036300  +0.035700  +0.035200  +0.035000  +0.034900  +0.035000
  +0.035200  +0.035700  +0.036300  +0.037100  +0.038000  +0.039200  +0.040500  +0.042000  +0.043700  +0.045500
  +0.047500  +0.049700  +0.052100  +0.054600  +0.057400  +0.060300  +0.063600  +0.067800  +0.072900  +0.078700
  +0.085400  +0.093000  +0.093000  +0.093000  +0.093000  +0.093000  +0.093000  +0.093000  +0.093000  +0.093000
  +0.093000  +0.093000  +0.093000  +0.093000
#
# Mach: 1.1
  +0.044500  +0.042800  +0.041300  +0.040100  +0.039000  +0.038200  +0.037700  +0.037300  +0.037200  +0.037300
  +0.037700  +0.038200  +0.039000  +0.040100  +0.041300  +0.042800  +0.044500  +0.046500  +0.048700  +0.051100
  +0.053700  +0.056600  +0.059700  +0.063000  +0.067100  +0.072200  +0.078400  +0.085700  +0.094100  +0.103600
  +0.114200  +0.125900  +0.125900  +0.125900  +0.125900  +0.125900  +0.125900  +0.125900  +0.125900  +0.125900
  +0.125900  +0.125900  +0.125900  +0.125900
#
# Mach: 1.15
  +0.042600  +0.041400  +0.040300  +0.039300  +0.038600  +0.038000  +0.037500  +0.037300  +0.037200  +0.037300
  +0.037500  +0.038000  +0.038600  +0.039300  +0.040300  +0.041400  +0.042600  +0.044100  +0.045700  +0.047500
  +0.049400  +0.051600  +0.053800  +0.056300  +0.058900  +0.061700  +0.064800  +0.068700  +0.073400  +0.078900
  +0.085200  +0.092200  +0.092200  +0.092200  +0.092200  +0.092200  +0.092200  +0.092200  +0.092200  +0.092200
  +0.092200  +0.092200  +0.092200  +0.092200
#
# Mach: 1.2
  +0.040700  +0.039800  +0.039000  +0.038400  +0.037800  +0.037400  +0.037100  +0.036900  +0.036900  +0.036900
  +0.037100  +0.037400  +0.037800  +0.038400  +0.039000  +0.039800  +0.040700  +0.041700  +0.042800  +0.044100
  +0.045500  +0.047000  +0.048600  +0.050300  +0.052100  +0.054100  +0.056200  +0.058400  +0.060700  +0.063200
  +0.066100  +0.069500  +0.069500  +0.069500  +0.069500  +0.069500  +0.069500  +0.069500  +0.069500  +0.069500
  +0.069500  +0.069500  +0.069500  +0.069500
#
# Mach: 1.3
  +0.040200  +0.039300  +0.038600  +0.037900  +0.037400  +0.037000  +0.036700  +0.036500  +0.036400  +0.036500
  +0.036700  +0.037000  +0.037400  +0.037900  +0.038600  +0.039300  +0.040200  +0.041200  +0.042400  +0.043600
  +0.045000  +0.046500  +0.048100  +0.049800  +0.051700  +0.053600  +0.055700  +0.057900  +0.060300  +0.062700
  +0.065600  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100
  +0.069100  +0.069100  +0.069100  +0.069100
#
# Mach: 1.4
  +0.040200  +0.039300  +0.038600  +0.037900  +0.037400  +0.037000  +0.036700  +0.036500  +0.036400  +0.036500
  +0.036700  +0.037000  +0.037400  +0.037900  +0.038600  +0.039300  +0.040200  +0.041200  +0.042400  +0.043600
  +0.045000  +0.046500  +0.048100  +0.049800  +0.051700  +0.053600  +0.055700  +0.057900  +0.060300  +0.062700
  +0.065600  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100
  +0.069100  +0.069100  +0.069100  +0.069100
#
# Mach: 1.5
  +0.040200  +0.039300  +0.038600  +0.037900  +0.037400  +0.037000  +0.036700  +0.036500  +0.036400  +0.036500
  +0.036700  +0.037000  +0.037400  +0.037900  +0.038600  +0.039300  +0.040200  +0.041200  +0.042400  +0.043600
  +0.045000  +0.046500  +0.048100  +0.049800  +0.051700  +0.053600  +0.055700  +0.057900  +0.060300  +0.062700
  +0.065600  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100
  +0.069100  +0.069100  +0.069100  +0.069100
#
# Mach: 1.6
  +0.040200  +0.039300  +0.038600  +0.037900  +0.037400  +0.037000  +0.036700  +0.036500  +0.036400  +0.036500
  +0.036700  +0.037000  +0.037400  +0.037900  +0.038600  +0.039300  +0.040200  +0.041200  +0.042400  +0.043600
  +0.045000  +0.046500  +0.048100  +0.049800  +0.051700  +0.053600  +0.055700  +0.057900  +0.060300  +0.062700
  +0.065600  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100
  +0.069100  +0.069100  +0.069100  +0.069100
#
# Mach: 1.7
  +0.040200  +0.039300  +0.038600  +0.037900  +0.037400  +0.037000  +0.036700  +0.036500  +0.036400  +0.036500
  +0.036700  +0.037000  +0.037400  +0.037900  +0.038600  +0.039300  +0.040200  +0.041200  +0.042400  +0.043600
  +0.045000  +0.046500  +0.048100  +0.049800  +0.051700  +0.053600  +0.055700  +0.057900  +0.060300  +0.062700
  +0.065600  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100
  +0.069100  +0.069100  +0.069100  +0.069100
#
# Mach: 1.8
  +0.040200  +0.039300  +0.038600  +0.037900  +0.037400  +0.037000  +0.036700  +0.036500  +0.036400  +0.036500
  +0.036700  +0.037000  +0.037400  +0.037900  +0.038600  +0.039300  +0.040200  +0.041200  +0.042400  +0.043600
  +0.045000  +0.046500  +0.048100  +0.049800  +0.051700  +0.053600  +0.055700  +0.057900  +0.060300  +0.062700
  +0.065600  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100
  +0.069100  +0.069100  +0.069100  +0.069100
#
# Mach: 1.9
  +0.040200  +0.039300  +0.038600  +0.037900  +0.037400  +0.037000  +0.036700  +0.036500  +0.036400  +0.036500
  +0.036700  +0.037000  +0.037400  +0.037900  +0.038600  +0.039300  +0.040200  +0.041200  +0.042400  +0.043600
  +0.045000  +0.046500  +0.048100  +0.049800  +0.051700  +0.053600  +0.055700  +0.057900  +0.060300  +0.062700
  +0.065600  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100  +0.069100
  +0.069100  +0.069100  +0.069100  +0.069100
#
# Mach: 2
